arm,condition,final_step,fresh_not_zeroshot,fresh_success,hop2_success,intro_fresh_hop1_acc,intro_hop1_acc,intro_hop2_acc,intro_step,is_fresh_control,max_steps,norm_t10_peak_excess,norm_t90_peak_excess,norm_width_t90_minus_t10,peak_hop2_excess,rewarm_lr,run_dir,schedule,seed,t_fresh_hop1_acc_ge_0.95,t_hop2_acc_ge_0.50,t_hop2_acc_ge_0.95,t_hop2_acc_ge_0.99,t_schedule,tail_base_hop1_acc,tail_floor_hop2_acc,tail_fresh_hop1_acc,tail_fresh_hop1_excess,tail_hop1_acc,tail_hop2_acc,tail_hop2_excess,tail_hop2_loss,tail_update_to_weight_ratio
fresh_hop1_s1,fresh_singlehop_late_seed3,29499,True,True,False,0.0,0.0,0.0,16000,True,29500,,,,0.000244140625,,runs/behavioral_replication_v0_9/s3/fresh_hop1_s1/fresh_singlehop_late_seed3,warmup_cosine,3,16150,,,,30000,0.9581976996527778,0.13733362268518517,1.0,0.8605143229166666,1.0,0.0,-0.13733362268518517,20.45660855593505,
rewarm_late,late_gate_post_seed3,35999,,False,True,,1.0,0.0,16000,False,36000,28200,28300,100,0.883544921875,0.001,runs/behavioral_replication_v0_9/s3/rewarm_late/late_gate_post_seed3,warmup_cosine_then_rewarm_constant,3,,28250,28350,28550,30000,,0.13638916015625,,,0.9997314453125,0.998980712890625,0.862591552734375,0.007509282760457836,
rewarm_reset_late,late_gate_post_seed3,35999,,False,True,,0.99951171875,0.0,16000,False,36000,23600,23900,300,0.8857421875,0.001,runs/behavioral_replication_v0_9/s3/rewarm_reset_late/late_gate_post_seed3,warmup_cosine_then_rewarm_constant_reset_optim,3,,23850,23900,24000,30000,,0.1365478515625,,,0.999755859375,0.998974609375,0.8624267578125,0.010031613004991868,
s1_late_original,late_gate_post_seed3,29499,,False,False,,1.0,0.0,16000,False,29500,,,,0.0498046875,,runs/behavioral_replication_v0_9/s3/s1_late_original/late_gate_post_seed3,warmup_cosine,3,,,,,30000,,0.14172815393518517,,,0.9996473524305556,0.1669650607638889,0.025236906828703703,2.4057992338030427,
s1_longcos_late,late_gate_post_seed3,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.053466796875,,runs/behavioral_replication_v0_9/s3/s1_longcos_late/late_gate_post_seed3,warmup_cosine,3,,,,,36000,,0.1437255859375,,,0.99970703125,0.17109375,0.0273681640625,2.123386645130813,
s1_plateau_late,late_gate_post_seed3,35999,,False,False,,1.0,0.0,16000,False,36000,,,,0.05224609375,,runs/behavioral_replication_v0_9/s3/s1_plateau_late/late_gate_post_seed3,warmup_cosine,3,,,,,30000,,0.1436767578125,,,0.999591064453125,0.168267822265625,0.024591064453125,2.3995892744511367,
s2_constant_late,late_gate_post_seed3,35999,,False,True,,0.999755859375,0.0,16000,False,36000,22450,23050,600,0.888916015625,,runs/behavioral_replication_v0_9/s3/s2_constant_late/late_gate_post_seed3,warmup_constant,3,,22950,23050,23250,30000,,0.13511962890625,,,0.999688720703125,0.9987060546875,0.86358642578125,0.011573372695386297,
fresh_hop1_s1,fresh_singlehop_late_seed4,29499,True,True,False,0.0,0.0,0.0,16000,True,29500,,,,0.015380859375,,runs/behavioral_replication_v0_9/s4/fresh_hop1_s1/fresh_singlehop_late_seed4,warmup_cosine,4,16200,,,,30000,0.9465241608796297,0.13997395833333334,1.0,0.8600079571759259,1.0,0.0,-0.13997395833333334,20.430883632765877,
rewarm_late,late_gate_post_seed4,35999,,False,True,,1.0,0.0,16000,False,36000,29050,29100,50,0.885986328125,0.001,runs/behavioral_replication_v0_9/s4/rewarm_late/late_gate_post_seed4,warmup_cosine_then_rewarm_constant,4,,29100,29100,29150,30000,,0.13358154296875,,,0.99969482421875,0.998846435546875,0.865264892578125,0.010297420898658061,
rewarm_reset_late,late_gate_post_seed4,35999,,False,True,,1.0,0.0,16000,False,36000,25250,26050,800,0.88818359375,0.001,runs/behavioral_replication_v0_9/s4/rewarm_reset_late/late_gate_post_seed4,warmup_cosine_then_rewarm_constant_reset_optim,4,,26000,26100,26150,30000,,0.13450927734375,,,0.999688720703125,0.9989990234375,0.86448974609375,0.007682841751400815,
